-427.786,-737.652,-21.7381,//докер взять ящик
-411.778,-827.907,-21.7456,//докер положить ящик = 34 сек
758.499,802.072,-11.967,
-387.476,653.965,-11.8028,
-1482.87,431.06,-20.1941,//дом под мостом 1
-1482.87,440.141,-20.1941,//2

-1297.07,1698.45,10.6935,//вх одежды 1
-1297.07,1699.08,10.5593,//вых одежды 1
-1292.83,1706.43,10.5592,//грабеж 1 р 5

-1417.31,1295.32,-13.7058,//вх одежды 2
-1417.94,1295.37,-13.7194,//вых одежды 2
-1425.29,1299.52,-13.7195,//грабеж 2

-1369.41,384.852,-23.7208,//вх одежды 3
-1370.04,385.049,-23.7367,//вых одежды 3
-1377.39,389.123,-23.7368,//грабеж 3

-1534.5,-4.532,-17.8467,//вх одежды 4
-1534.47,-3.90287,-17.8467,//вых одежды 4
-1530.26,3.44592,-17.8468,//грабеж 4

-378.296,-456.616,-17.2628,//вх одежды 5
-378.203,-455.987,-17.266,//вых одежды 5
-374.002,-448.638,-17.2661,//грабеж 5

343.258,33.2364,-24.1097,//вх одежды 6
343.295,33.8655,-24.1477,//вых одежды 6
347.46,41.2144,-24.1478,//грабеж 6

437.402,301.501,-20.1634,//вх одежды 7
436.773,301.723,-20.1785,//вых одежды 7
429.424,305.764,-20.1786,//грабеж 7

-43.1751,381.59,-13.9932,//вх одежды 8
-43.203,382.219,-13.9962,//вых одежды 8
-38.9963,389.568,-13.9963,//грабеж 8

-6.97312,552.727,-19.3915,//вх одежды 9
-6.83882,553.356,-19.4066,//вых одежды 9
-2.71507,560.705,-19.4068,//грабеж 9

270.501,767.584,-21.2438,//вх одежды 10
270.555,768.213,-21.2438,//вых одежды 10
274.712,775.562,-21.2439,//грабеж 10

-510.219,870.426,-19.2883,//вх одежды 11
-510.848,870.694,-19.3222,//вых одежды 11
-518.197,874.753,-19.3224,//грабеж 11

-628.501,283.775,-0.248379,//вх одежды 12
-628.386,284.404,-0.266979,//вых одежды 12
-624.275,291.753,-0.267097,//грабеж 12

411.157,-298.452,-20.1621,//вх одежды 13
411.092,-297.823,-20.1621,//вых одежды 13
415.433,-290.474,-20.1622,//грабеж 13

564.845,-555.782,-22.7021,//рыбалка
-122.825,1753.56,-18.7074,//продажа наркоты у бруски
426.998,78.4652,-21.249,//триада

-377.247,467.86,-1.1542,//остановки
-471.443,8.72486,-1.25911,//2
-429.84,-299.925,-11.6514,//3
-139.438,-472.443,-15.243,//4
296.425,-314.303,-20.0969,//5
274.915,357.74,-21.4706,//6
475.727,736.809,-21.1842,//7
162.779,832.845,-19.5612,//8
-579.48,1601.35,-16.3978,//9
-1150.22,1483.88,-3.32825,//10
-1667.73,1094.03,-6.92672,//11
-1599.38,-192.854,-20.2267,//12
-1561.77,106.105,-13.2248,//13
-1347.41,420.672,-23.6699,//14
-1615.43,995.021,-5.83024,//15
-1066.34,1460.33,-3.84283,//16
-568.908,1582.26,-16.3778,//17
-171.018,726.083,-20.4468,//18
-102.617,374.2,-13.9325,//конец остановок

-405.057,485.34,-0.524406,//респ автобуса

400.47,745.517,-24.6665,//киоски
164.257,657.558,-21.9641,
33.6884,599.201,-19.9273,
-121.101,622.605,-19.9023,
-378.021,636.731,-10.5905,
-502.091,802.291,-19.4324,
-615.216,928.722,-18.7638,
-728.608,864.547,-18.7325,
-656.65,509.887,1.21776,
-489.445,465.414,1.16478,
-374.126,443.63,-1.07852,
-187.223,423.631,-6.13807,
29.9201,199.388,-15.8087,
436.778,458.533,-23.4465,
398.633,205.796,-20.678,
-684.184,303.915,0.354372,
-720.026,18.0805,1.02313,
-504.309,8.96903,-0.348028,
-378.354,-194.282,-10.1133,
-238.823,-34.79,-11.4141,
-65.7549,-309.509,-14.2386,
306.183,-304.782,-20.0005,
503.665,-295.996,-20.0115,
282.229,4.70126,-22.9423,
368.481,-301.162,-20.0041,
564.192,-555.782,-22.5388,
31.9624,-476.895,-19.22,
-125.724,-526.665,-16.7269,
-1564.69,-188.636,-20.1714,
-1343.32,410.58,-23.564,
-1601.5,970.578,-5.08525,
-1425.34,975.599,-13.4643,
-1194.98,1184.57,-13.4075,
-1276.81,1337.04,-13.4034,
-1115.83,1363.51,-13.371,
-377.342,1585.2,-23.4306,
-783.837,1517.4,-5.96645,
-1576.02,1612.83,-5.91438,
-1181.8,1589.17,5.90497,
-1046.98,1446.22,-4.30739,
229.585,703.815,-23.6116,//конец

-384.272,-699.759,-21.7457,//места для медиков и копов
-599.382,-231.097,-4.48657,
-331.772,185.195,-4.70247,
-426.461,456.942,0.33153,
-381.589,634.633,-10.5086,
-285.195,862.815,-20.2061,
380.308,897.225,-21.3149,
588.524,813.404,-12.662,
789.189,654.62,-12.0832,
1275.02,1299.84,0.382549,
-365.791,490.019,1.25577,
-561.823,522.026,1.24924,
-482.156,691.194,1.37447,
-509.306,-11.1211,-0.239947,
-599.34,89.5566,0.221444,
-620.107,6.50564,1.11097,
75.6369,-400.784,-19.8009,
24.902,-429.961,-19.9375,
83.6723,-513.269,-19.9458,
32.3907,-691.08,-21.5265,
164.266,-768.65,-21.546,
136.311,-695.843,-21.525,
-236.894,-768.073,-21.5981,
-230.422,-544.231,-20.087,
129.509,-447.703,-20.0917,
398.212,-409.48,-20.0806,
787.955,-147.139,-18.8826,
602.867,-15.2144,-18.2204,
265.477,39.5867,-23.1259,
183.199,465.395,-19.9129,
-1385.86,-285.641,-19.9089,
-1698.15,-275.929,-20.1368,
-1551.1,57.2085,-13.7276,
-1504.34,513.324,-20.0701,
-1262.55,574.842,-23.513,
-1574,948.765,-4.98926,
-1616.93,1092.38,-7.67462,
-1163.86,1356.19,-13.353,
-1069.93,1669.33,10.8248,
-693.22,1881.85,-14.726,//конец
